book_isbn,avg_rating,five_rating,four_rating,three_rating,two_rating,one_rating
0062200941,4.5,63,27,7,2,1
038572179X,3.9,48,22,12,9,9
0143038419,3.7,49,16,9,8,18
0061239968,4.0,27,46,27,0,0
0399155341,4.7,81,12,3,2,2
1400065747,4.0,47,29,12,5,7
0340976861,4.2,57,22,9,6,6
0060959037,4.1,54,24,10,6,6
0060921145,4.3,60,22,7,5,6
0060852550,4.3,66,15,8,6,5
0812474945,4.2,52,29,10,4,5
0060786507,4.3,60,21,9,5,5
1565125606,4.4,66,20,7,4,3
0670021652,3.7,43,21,15,10,11
0060504080,4.3,71,10,6,6,7
0060917016,4.3,54,27,14,5,0
0571179509,4.4,69,13,8,5,5
0060852577,4.1,55,19,10,9,7
1932234446,4.5,80,6,6,0,7
193223456X,4.7,71,26,1,2,0
0452284244,4.4,66,22,7,2,3
0385333846,4.2,59,21,10,5,5
0142437247,4.1,59,16,11,6,8
0307277674,3.8,49,17,11,9,14
1594480001,4.6,73,17,5,3,2
0450040186,4.7,78,15,4,2,1
0099446782,4.7,77,17,4,1,1
0060838582,4.3,60,26,7,3,4
0307347974,4.4,63,20,10,7,0
0345391802,4.4,69,16,7,4,4
0679879242,4.5,72,15,6,3,4
0439554934,4.8,86,9,3,1,1
0142000671,4.4,63,23,8,3,3
0743273567,4.2,58,22,10,5,5
0316769177,4.0,56,16,10,8,10
0061120081,4.7,82,11,3,2,2
0802717705,4.7,69,31,0,0,0
0525951571,4.4,63,25,6,4,2
0385339607,4.4,60,26,8,4,2
0099446782,4.7,77,17,4,1,1
0618346252,4.6,81,9,4,3,3
0385537859,4.0,44,26,18,7,5
0345366239,4.0,55,15,9,12,9
0307886263,4.3,59,24,11,4,2
0743297334,3.8,45,20,15,9,11
0316056863,4.3,59,21,11,6,3
0446577251,3.6,34,25,16,13,12
0064400018,4.7,81,14,3,1,1
031612558X,4.0,52,22,13,6,7
0316068047,4.4,66,20,7,3,4
031606792X,3.8,55,12,8,8,17
0316160202,4.4,70,14,7,4,5
0316160199,4.3,64,16,9,5,6
0316015849,4.1,65,11,7,5,12
0385738935,3.9,43,25,15,10,7
0451227190,4.6,65,31,4,0,0
0451225724,4.7,75,22,3,0,0
0451224639,4.6,66,27,5,2,0
0451222385,4.5,65,26,7,1,1
0451220897,4.3,55,28,15,1,1
0451219945,4.2,48,29,17,4,2
1841493007,4.3,52,31,11,4,2
0441008534,4.1,52,24,12,7,5
1878067583,3.9,37,42,5,5,11
0061176052,4.2,57,21,11,6,5
0425280764,4.2,38,45,17,0,0
0425269582,4.7,66,34,0,0,0
0425269574,4.4,61,26,8,4,1
0451471334,4.5,66,25,6,3,0
0786034076,3.9,38,31,19,4,8
0425256634,4.1,46,36,9,4,5
1781082014,4.4,62,20,14,2,2
0141301066,4.7,80,13,4,1,2
0439959365,4.4,57,29,14,0,0
0590552902,4.9,86,14,0,0,0
0440228654,4.6,71,20,5,3,1
0767903579,4.1,55,22,13,5,5
0743272498,3.9,43,28,15,9,5
9628746472,2.0,0,0,0,100,0
0751515019,4.5,50,50,0,0,0
0143038095,4.2,56,28,7,3,6
0812968069,4.5,66,24,7,2,1
0590558250,5.0,100,0,0,0,0
0439953960,4.0,65,7,7,7,14
0590557092,4.6,69,25,6,0,0
0590552899,4.6,65,29,6,0,0
1585425680,3.0,18,29,15,16,22
0345418263,4.4,70,14,8,4,4
0316015849,4.1,65,11,7,5,12
0307275558,3.0,20,22,19,18,21
0679783261,4.5,72,14,6,3,5
0679879242,4.5,72,15,6,3,4
0316166685,3.9,47,24,12,9,8
0739326228,4.4,68,18,7,4,3
0743477111,4.2,64,22,0,0,14
0452284244,4.4,66,22,7,2,3
0061120081,4.7,82,11,3,2,2
0007149824,3.7,37,28,15,10,10
1573226068,4.3,60,21,10,6,3
0743454537,4.2,57,22,9,6,6
0446578843,4.4,71,13,6,4,6
0312282990,4.2,61,18,10,7,4
006117758X,4.3,64,20,6,4,6
0802130208,4.2,64,13,7,6,10
0671741039,4.6,79,11,5,3,2
0451191153,4.2,64,15,8,4,9
0452011876,4.2,64,14,8,5,9
0451530179,4.5,67,20,7,4,2
0143058142,4.3,65,16,9,4,6
0345417976,4.4,71,14,6,5,4
184243036X,3.9,47,23,12,8,10
006621131X,4.4,65,18,8,5,4
0345522478,4.4,61,27,7,3,2
0440238609,4.2,64,14,7,5,10
0316033677,4.2,56,25,7,6,6
0618346252,4.6,81,9,4,3,3
0345503805,4.2,56,22,11,7,4
0066238501,4.7,80,12,4,2,2
043965548X,4.8,85,9,3,1,2
0439064864,4.7,80,13,4,1,2
0439358078,4.5,71,16,7,4,2
