u_id,b_id,a_id,name,average_rating,ratings_count,text_reviews_count
5535190,12156754,3090079,Shilpi Somaya Gowda,3.96,51920,4616
5535190,6867,2408,Ian McEwan,3.71,625729,41057
5535190,19501,11679,Elizabeth Gilbert,3.50,1200119,63740
5535190,6270530,58843,A. Manette Ansay,3.35,27069,1365
5535190,4667024,1943477,Kathryn Stockett,4.45,1340045,74252
5535190,7468160,3500,Anna Quindlen,4.17,1945325,48635
5535190,3185512,7128,Jodi Picoult,3.92,2469731,145004
5535190,14249,3541,Barbara Kingsolver,3.97,993290,57414
5535190,77262,3541,Barbara Kingsolver,3.97,993290,57414
5535190,25460,3541,Barbara Kingsolver,3.97,993290,57414
5535190,30868,3541,Barbara Kingsolver,3.97,993290,57414
5535190,7244,3541,Barbara Kingsolver,3.97,993290,57414
5535190,43641,24556,Sara Gruen,4.02,1062861,63485
5535190,6728738,11679,Elizabeth Gilbert,3.50,1200121,63740
5535190,14248,3541,Barbara Kingsolver,3.97,993291,57414
5535190,77264,3541,Barbara Kingsolver,3.97,993291,57414
5535190,14256,3541,Barbara Kingsolver,3.97,993291,57414
5535190,6433752,3541,Barbara Kingsolver,3.97,993291,57414
5241123,160063,29482,Osamu Tezuka,4.20,59066,3280
5241123,209577,29482,Osamu Tezuka,4.20,59066,3280
5241123,7613,3706,George Orwell,3.98,3636881,71557
5241123,4981,2778055,Kurt Vonnegut,4.04,1724848,49711
5241123,153747,1624,Herman Melville,3.47,427752,13792
5241123,968,630,Dan Brown,3.75,4537329,126763
5241123,77203,569,Khaled Hosseini,4.24,2529852,114171
5241123,11588,3389,Stephen King,3.98,8626204,274134
5241123,23807,12455,Thomas Harris,4.00,587283,8970
5241123,1097,380,Eric Schlosser,3.73,188593,6807
5241123,4381,1630,Ray Bradbury,3.99,1427647,47210
5241123,11,4,Douglas Adams,4.18,1794098,34420
5241123,119322,3618,Philip Pullman,3.97,1515386,35498
5241123,3,1077326,J.K. Rowling,4.41,14672481,306642
5241123,890,585,John Steinbeck,3.88,2503476,64459
5241123,4671,3190,F. Scott Fitzgerald,3.86,2622706,58948
5241123,5107,819789,J.D. Salinger,3.82,2137875,47719
5241123,2657,1825,Harper Lee,4.21,2879399,80308
5241123,13538676,28335,David Blatner,3.85,941,77
5241123,7132363,1956402,Daniel Suarez,4.12,57746,5141
5578246,5349,721,John Grisham,3.86,3162240,91536
5330793,23807,12455,Thomas Harris,4.00,587284,8971
5128232,34,656983,J.R.R. Tolkien,4.29,5367411,79827
5621332,17212231,630,Dan Brown,3.75,4537333,126763
5621332,113310,7172,Katherine Neville,3.73,36295,3009
5621332,10335308,194416,Mindy Kaling,3.85,300176,21721
5621332,3876,1455,Ernest Hemingway,3.81,1329922,44916
5621332,9476337,4385839,Tina Fey,3.94,484205,31736
5621332,86841,474413,Belle de Jour,3.34,8038,779
5621332,77766,5300,Laura Ingalls Wilder,4.17,814554,16142
