u_id,b_id,a_id,name,average_rating,ratings_count,text_reviews_count
885261,11588,3389,Stephen King,3.98,8638312,274530
885261,11590,3389,Stephen King,3.98,8638312,274530
885261,1609448,9428,Charlotte Chandler,3.81,2400,289
885261,76030,43244,Groucho Marx,3.96,4204,315
885261,55386,10356,Woody Allen,3.95,30724,1600
885261,35503,10356,Woody Allen,3.95,30724,1600
885261,5759,2546,Chuck Palahniuk,3.83,1070601,44891
885261,29744,463,Philip Roth,3.79,250880,17002
885261,242006,3058,Augusten Burroughs,3.77,479845,21296
885261,43945,463,Philip Roth,3.79,250880,17002
2301018,1964791,1612,Jeffery Deaver,3.99,353358,17856
2301018,14497,1221698,Neil Gaiman,4.13,3471016,191538
2301018,1633,1058,David Allen,3.94,71490,3485
2301018,2029927,9355,Dean Koontz,3.88,1781950,65677
2301018,14996,9355,Dean Koontz,3.88,1781950,65677
2301018,16433,9355,Dean Koontz,3.88,1781950,65677
2301018,14995,9355,Dean Koontz,3.88,1781950,65677
2301018,375802,589,Orson Scott Card,4.05,1872821,83006
2301018,7967,589,Orson Scott Card,4.05,1872821,83006
2301018,112537,7779,Arthur C. Clarke,3.92,701287,18735
2301018,197277,39099,Jerry Pournelle,3.93,133659,3851
2301018,3128411,40563,Patricia Briggs,4.24,845093,40351
2301018,125955,1441,Ted Dekker,4.02,313939,18979
2301018,125956,1441,Ted Dekker,4.02,313939,18979
2301018,456028,1441,Ted Dekker,4.02,313939,18979
2301018,45252,25375,Peter F. Hamilton,4.16,197782,7403
2301018,88071,4763,John Scalzi,3.99,354330,29256
2301018,6002005,271685,Andrew Klavan,4.00,18428,2538
2301018,2029932,9355,Dean Koontz,3.88,1781950,65677
1983804,1319,867,Steven Pressfield,4.10,70887,6293
1983804,4437831,68959,Gene Luen Yang,4.09,155845,12204
1983804,157993,1020792,Antoine de Saint-Exupéry,4.25,658564,19525
1983804,6288,4178,Cormac McCarthy,3.99,813440,58209
1983804,7763,5246,Amy Tan,3.88,744995,18665
1983804,906943,128738,Li-Young Lee,4.20,6024,353
1983804,320,13450,Gabriel Garcí­a Márquez,3.93,1055838,44738
1983804,6867,2408,Ian McEwan,3.71,626549,41106
1983804,43603,24508,Salvador Plascencia,4.11,3732,471
1983804,432,296961,Paul Auster,3.81,202932,13385
1983804,138239,1443179,Lee A. Siegel,3.61,293,48
1983804,11275,3354,Haruki Murakami,3.95,1210655,86253
1983804,71490,29503,Álvaro Mutis,4.10,2164,199
1983804,4952,3371,Dave Eggers,3.74,438358,43354
1983804,1319,867,Steven Pressfield,4.10,70887,6293
1983804,4437831,68959,Gene Luen Yang,4.09,155845,12204
1983804,157993,1020792,Antoine de Saint-Exupéry,4.25,658564,19525
1983804,6288,4178,Cormac McCarthy,3.99,813441,58210
1983804,7763,5246,Amy Tan,3.88,744995,18665
