u_id,b_id,a_id,name,average_rating,ratings_count,text_reviews_count
6722288,12059658,7128,Jodi Picoult,3.92,2470136,145024
6722288,452244,9558,Poppy Z. Brite,3.90,70843,2974
6722288,33810,1238,Nelson DeMille,4.00,289792,14737
5979436,968,630,Dan Brown,3.75,4538174,126777
5979436,30119,435477,Shel Silverstein,4.31,1980056,27147
7231926,355697,4116,Erich Maria Remarque,3.98,267198,7022
6658785,7937843,23613,Emma Donoghue,3.93,486217,42984
6658785,6834410,3066198,Tom Rachman,3.55,44460,6207
6658785,15783342,200330,Amy Webb,3.53,1272,276
7350098,865,566,Paulo Coelho,3.71,1787453,82143
6260983,2122,432,Ayn Rand,3.73,642519,31139
6636288,2913,18,Gary Paulsen,3.73,317304,21454
6604947,2956,1244,Mark Twain,3.83,1743451,30383
7336576,312043,179712,Chris d'Lacey,3.92,74553,3228
6338123,779369,409680,Yashavant P. Kanetkar,4.00,47,5
6683050,10365,6810,Wilson Rawls,4.02,262050,8456
5687217,24120519,3046613,Ransom Riggs,3.87,501415,49037
5687217,23164983,3046613,Ransom Riggs,3.87,501415,49037
5873693,1124156,553289,Philippa J. Easterbrook,4.23,60,4
7333949,25404852,13847528,Carly J. Hallman,3.33,42,10
7333949,50632,9322,Edward Albee,4.02,62519,1566
7333949,12465948,5031025,Anton Chekhov,4.01,145446,6237
6436120,45436,10896,Eoin Colfer,3.91,959019,28645
7471029,101299,2894,Bernhard Schlink,3.70,132166,8385
7471029,291083,14870,Alasdair Gray,4.02,7742,613
7471029,72355,14870,Alasdair Gray,4.02,7742,613
6424382,6472246,20357,Chelsea Handler,3.79,314812,18307
6424382,10256723,10953,Kevin D. Mitnick,3.88,19077,1505
7003538,17465515,44085,Elena Ferrante,4.12,68735,8608
7212767,6193923,48557,Chelsea Cain,3.95,82174,8142
7259182,370493,435477,Shel Silverstein,4.31,1980058,27147
6547992,24770,13957,Scott Westerfeld,3.84,1090391,64767
7350203,13536860,4725841,E.L. James,3.80,2580881,138313
7350203,11721445,52259,Fiona MacDonald,3.77,2729,365
6640798,11454587,2261547,Rachel Hawkins,4.02,261510,22152
7021068,99561,1406384,John Green,4.14,3743251,252356
5649512,4381,1630,Ray Bradbury,3.99,1427966,47214
7253692,67,33,Edward P. Jones,3.84,32776,3345
7253692,4757142,33254,Peter Marshall,4.08,1963,177
5996041,4671,3190,F. Scott Fitzgerald,3.86,2623314,58958
7427775,11735983,4039811,Veronica Roth,4.13,3495791,226547
7427775,13335037,4039811,Veronica Roth,4.13,3495791,226547
7427775,13497818,1077326,J.K. Rowling,4.41,14675813,306740
5827133,18007564,6540057,Andy Weir,4.37,369133,51968
5827133,14535790,8446,James Allen,4.28,29093,1615
6548322,10996342,3452783,Chad Harbach,3.98,79619,9191
6548322,6280118,46118,David Nicholls,3.72,267369,19729
5889217,533465,5836922,Dai Sijie,3.58,39614,3463
5889217,20763881,6175529,Paula Daly,3.76,8766,1467
5824383,2657,1825,Harper Lee,4.21,2880288,80332
6067169,8619814,4766257,John  Stephens,4.01,20847,2689
6067169,1241100,6331,Anne Perry,3.97,313657,16237
6067169,583883,6331,Anne Perry,3.97,313657,16237
6067169,1971304,120401,David Benioff,4.25,72372,7905
6067169,5226845,6760,Laurie R. King,4.03,217980,17552
6067169,93940,6760,Laurie R. King,4.03,217980,17552
6939621,74176,42041,Max Weber,3.89,10009,387
7385923,7260188,153394,Suzanne Collins,4.28,7883508,340481
6613362,450839,14864,David Hatcher Childress,3.86,1540,100
6613362,62291,346732,George R.R. Martin,4.36,3399901,140759
6149585,890,585,John Steinbeck,3.88,2503952,64479
6106997,9659607,2995873,Julie Kagawa,4.11,569006,45251
7144745,2423935,1080493,Josep Bras,2.67,6,1
5799582,10964693,1467,Jeffrey Eugenides,3.93,1194109,47066
6880534,11870085,1406384,John Green,4.14,3743257,252356
6880534,33512,18854,Jim Fergus,3.86,78783,6554
6880534,11337,3534,Toni Morrison,3.83,511378,23047
6880534,12296,7799,Nathaniel Hawthorne,3.40,570225,14233
6387352,21996,5869,Erik Larson,3.93,498320,44696
7380664,231804,762707,S.E. Hinton,4.02,629212,20746
7380664,50,18,Gary Paulsen,3.73,317304,21454
6719788,8261009,76008,Sean Manning,3.45,334,78
5848557,350,205,Robert A. Heinlein,3.91,805406,22093
7480315,5024334,317354,Kristan Higgins,3.97,136348,11575
7480315,5082599,1647762,Julie James,4.00,167327,9575
6812167,15507958,281810,Jojo Moyes,4.10,607986,72313
6463080,174703,53,Heidi Murkoff,3.74,53734,3319
6463080,34266,19313,Peter Walsh,3.73,5952,1080
7272166,370493,435477,Shel Silverstein,4.31,1980062,27147
6794746,5160,3503,Maya Angelou,4.17,310637,10010
7375297,10913,7128,Jodi Picoult,3.92,2470137,145024
7375297,6614960,7128,Jodi Picoult,3.92,2470137,145024
